alignment_id,candidate_id,ku_id,external_source,external_id,decision,accessed_date,process_ref,legacy_ku_id,resolution_note
aln-0001,cand-2931,units/archives/accademia-statutes-confirmed-1621,,,undecided,2026-09-10,REV-034,,
aln-0002,cand-2932,units/archives/ameyden-relazione-1642,,,undecided,2026-09-10,REV-034,,
aln-0003,cand-2933,units/archives/armanni-delle-lettere,,,undecided,2026-09-10,REV-034,,
aln-0004,cand-2934,units/archives/armanni-pamfili-letter-undated,,,undecided,2026-09-10,REV-034,,
aln-0005,cand-2935,units/archives/arragona-mantua-letter-1621,,,undecided,2026-09-10,REV-034,,
aln-0006,cand-2936,units/archives/baldoini-painter-appointment,,,undecided,2026-09-10,REV-034,,
aln-0007,cand-2937,units/archives/bertolotti-artisti-bolognesi,,,undecided,2026-09-10,REV-034,,
aln-0008,cand-2938,units/archives/bianconi-letter-1762,,,undecided,2026-09-10,REV-034,,
aln-0009,cand-2939,units/archives/camassei-sebastian-receipt,,,undecided,2026-09-10,REV-034,,
aln-0010,cand-2940,units/archives/camassei-urban-contract-1633,,,undecided,2026-09-10,REV-034,,
aln-0011,cand-2941,units/archives/caravaggio-altarpieces-contract-1600,,,undecided,2026-09-10,REV-034,,
aln-0012,cand-2942,units/archives/cellini-autobiography,Wikidata,Q4014886,same,2026-09-10,REV-034,,
aln-0013,cand-2943,units/archives/coke-arundell-letter-1620,,,undecided,2026-09-10,REV-034,,
aln-0014,cand-2944,units/archives/colnaghi-catalogue-1961,,,undecided,2026-09-10,REV-034,,
aln-0015,cand-2945,units/archives/de-rosis-ruffo-letter-1663,,,undecided,2026-09-10,REV-034,,
aln-0016,cand-2946,units/archives/ferri-ruffo-letter-1672,,,undecided,2026-09-10,REV-034,,
aln-0017,cand-2947,units/archives/gavasetti-piacenza-contract-1624,,,undecided,2026-09-10,REV-034,,
aln-0018,cand-2948,units/archives/gessi-leopardi-letter-1647,,,undecided,2026-09-10,REV-034,,
aln-0019,cand-2949,units/archives/gini-cortona-letter-1666,,,undecided,2026-09-10,REV-034,,
aln-0020,cand-2950,units/archives/giovanni-adamo-piola-letter-1690,,,undecided,2026-09-10,REV-034,,
aln-0021,cand-2951,units/archives/grassi-cortona-bozzetti-1957,,,undecided,2026-09-10,REV-034,,
aln-0022,cand-2952,units/archives/guercino-ruffo-letter-1649,,,undecided,2026-09-10,REV-034,,
aln-0023,cand-2953,units/archives/lanfranco-barberini-letter-1640,,,undecided,2026-09-10,REV-034,,
aln-0024,cand-2954,units/archives/lhoggidi-1627,,,undecided,2026-09-10,REV-034,,
aln-0025,cand-2955,units/archives/minnitti-augusta-terms-1617,,,undecided,2026-09-10,REV-034,,
