candidate_id,index_entry_id,canonical_name,index_page_range,suggested_type,status
cand-0001,A.csv#0,Accademia Albrizziana,334,,open
cand-0002,A.csv#1,Accademia degli Umoristi,118,,open
cand-0003,A.csv#2,Accademia dei Lincei,"33, 99",,open
cand-0004,A.csv#3,Accademia del Disegno,241,,open
cand-0005,A.csv#4,Accademia di Pittura e Scultura,"329, 330, 363",,open
cand-0006,A.csv#5,Accademia di Pittura e Scultura,331,,open
cand-0007,A.csv#6,Accademia di S. Luca,"17, 18, 53, 121, 126, 141, 142, 150, 158, 160, 191",,open
cand-0008,A.csv#7,Accademia di S. Luca,17,,open
cand-0009,A.csv#8,Accademia di S. Luca,"17, 18, 20, 121",,open
cand-0010,A.csv#9,"Acqua, Cristoforo dall'",327,,open
cand-0011,A.csv#10,"Adam, James","302, 310, 392",,open
cand-0012,A.csv#11,"Adam, Robert","301, 310n, 392",,open
cand-0013,A.csv#12,"Adam, Robert",336,,open
cand-0014,A.csv#13,"Adami, Luigi",,,open
cand-0015,A.csv#14,"Adami, Luigi",158,,open
cand-0016,A.csv#15,"Adamo, Giovanni",10,,open
cand-0017,A.csv#16,"Adda, Cardinal d'",166n,,open
cand-0018,A.csv#17,"Agucchi, Giovanni Battista","28, 159, 397-398",,open
cand-0019,A.csv#18,"Aix-la-Chapelle, Peace of",318,,open
cand-0020,A.csv#19,"Albani, Cardinal Annibale",166n,,open
cand-0021,A.csv#20,"Albani, Francesco","131, 141, 169, 178",,open
cand-0022,A.csv#21,"Albani, Gianfrancesco (Pope Clement XI)","xviii, 19, 129, 163, 222",,open
cand-0023,A.csv#22,"Albergati-Capacelli, Francesco",336,,open
cand-0024,A.csv#23,"Albrizzi, Almorò",334,,open
cand-0025,A.csv#24,"Albrizzi, Giambattista","334, 335, 336, 343, 345",,open
cand-0026,A.csv#25,"Albrizzi, Giambattista","334, 335",,open
cand-0027,A.csv#26,"Albrizzi, Giambattista","334, 335, 336",,open
cand-0028,A.csv#27,"Albrizzi, Giambattista",334,,open
cand-0029,A.csv#28,"Albrizzi, Giambattista",336,,open
cand-0030,A.csv#29,"Albrizzi, Giambattista","337, 344",,open
cand-0031,A.csv#30,"Aldobrandini, Ippolito (Pope Clement VIII)","25, 26, 67",,open
cand-0032,A.csv#31,"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)","25, 27, 39, 398",,open
cand-0033,A.csv#32,"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)","25, 160, 171",,open
cand-0034,A.csv#35,"Algardi, Alessandro","59, 71, 91, 148, 159, 176, 182, 183, 190",,open
cand-0035,A.csv#36,"Algardi, Alessandro",148,,open
cand-0036,A.csv#37,"Algardi, Alessandro",148,,open
cand-0037,A.csv#38,"Algardi, Alessandro",371,,open
cand-0038,A.csv#39,"Algardi, Alessandro","182, 183",,open
cand-0039,A.csv#40,"Algardi, Alessandro",148,,open
cand-0040,A.csv#41,"Algarotti, Bonomo","293, 347, 348, 350n, 355, 356, 357, 361",,open
cand-0041,A.csv#42,"Algarotti, Francesco","256n, 264, 266, 267, 293n, 300, 303, 307, 309, 330, 331, 343, 363, 373, 407, 408, 409",,open
cand-0042,A.csv#43,"Algarotti, Francesco",363,,open
cand-0043,A.csv#44,"Algarotti, Francesco","347, 349, 357",,open
cand-0044,A.csv#45,"Algarotti, Francesco",357,,open
cand-0045,A.csv#46,"Algarotti, Francesco",353,,open
cand-0046,A.csv#47,"Algarotti, Francesco","319, 320",,open
cand-0047,A.csv#48,"Algarotti, Francesco","349, 356, 357",,open
cand-0048,A.csv#49,"Algarotti, Francesco",321,,open
cand-0049,A.csv#50,"Algarotti, Francesco","356, 357, 358",,open
cand-0050,A.csv#51,"Algarotti, Francesco","348, 358",,open
cand-0051,A.csv#52,"Algarotti, Francesco",355,,open
cand-0052,A.csv#53,"Algarotti, Francesco","347, 349, 351, 352, 353, 354, 355, 357, 359, 360",,open
cand-0053,A.csv#54,"Algarotti, Francesco",354,,open
cand-0054,A.csv#55,"Algarotti, Francesco","354, 359",,open
cand-0055,A.csv#56,"Algarotti, Francesco",359,,open
cand-0056,A.csv#57,"Algarotti, Francesco","350, 351",,open
cand-0057,A.csv#58,"Algarotti, Francesco",356,,open
cand-0058,A.csv#59,"Algarotti, Francesco","357, 358, 359",,open
cand-0059,A.csv#60,"Algarotti, Francesco","354, 355, 359",,open
cand-0060,A.csv#61,"Algarotti, Francesco",361,,open
cand-0061,A.csv#62,"Algarotti, Francesco",348,,open
cand-0062,A.csv#63,"Algarotti, Francesco",354,,open
cand-0063,A.csv#64,"Algarotti, Francesco",356,,open
cand-0064,A.csv#65,"Algarotti, Francesco",355,,open
cand-0065,A.csv#66,"Algarotti, Francesco","349, 356, 357",,open
cand-0066,A.csv#67,"Algarotti, Francesco",358,,open
cand-0067,A.csv#68,"Algarotti, Francesco",354,,open
cand-0068,A.csv#69,"Algarotti, Francesco",348,,open
cand-0069,A.csv#70,"Algarotti, Francesco",360,,open
cand-0070,A.csv#71,"Algarotti, Francesco","349, 350, 355",,open
cand-0071,A.csv#72,"Algarotti, Francesco","350, 351, 352",,open
cand-0072,A.csv#73,"Algarotti, Francesco","350, 351, 352",,open
cand-0073,A.csv#74,"Algarotti, Francesco","294, 295, 298, 349, 356",,open
cand-0074,A.csv#75,"Algarotti, Francesco",354n,,open
cand-0075,A.csv#76,"Algarotti, Francesco",350,,open
cand-0076,A.csv#77,"Algarotti, Francesco","358, 359",,open
cand-0077,A.csv#78,"Algarotti, Francesco",360,,open
cand-0078,A.csv#79,"Algarotti, Francesco",360n,,open
cand-0079,A.csv#80,"Algarotti, Francesco","359, 360",,open
cand-0080,A.csv#81,"Algarotti, Francesco",349,,open
cand-0081,A.csv#82,"Algarotti, Francesco",349,,open
cand-0082,A.csv#83,"Algarotti, Francesco","352, 353, 354, 355, 356",,open
cand-0083,A.csv#84,"Algarotti, Francesco",357,,open
cand-0084,A.csv#85,"Allegrini, Francesco",157,,open
cand-0085,A.csv#86,"Altham, James",197,,open
cand-0086,A.csv#87,Alticchiero (Querini villa),"369, 370, 371, 372",,open
cand-0087,A.csv#88,"Altieri, Emilio (Pope Clement X)","118, 161, 162",,open
cand-0088,A.csv#89,"Altieri, Emilio (Pope Clement X)",162,,open
cand-0089,A.csv#90,"Altieri, Don Gasparo",161,,open
cand-0090,A.csv#91,Altieri palace,"118, 156, 161",,open
cand-0091,A.csv#92,"Amelot de la Houssaye, A. N.",247n,,open
cand-0092,A.csv#93,"Ameyden, Dirk","41, 94, 137n",,open
cand-0093,A.csv#94,"Ameyden, Dirk","4n, 137n",,open
cand-0094,A.csv#95,"Amigoni, Jacopo","251, 271, 286, 295, 297, 340, 351, 405",,open
cand-0095,A.csv#96,"Amigoni, Jacopo",316,,open
cand-0096,A.csv#97,"Amigoni, Jacopo",287,,open
cand-0097,A.csv#98,"Amigoni, Jacopo",316,,open
cand-0098,A.csv#99,"Amigoni, Jacopo",393,,open
cand-0099,A.csv#100,"Amigoni, Jacopo",315,,open
cand-0100,A.csv#101,"Amigoni, Jacopo",316,,open
cand-0101,A.csv#102,"Amigoni, Jacopo",316,,open
