mention_id,segment_id,candidate_id,surface_form,start_char,end_char,note
m-chp1-seci-0001,chp-1:01_CHP-1_sec_i:l3-13,cand-3104,Urban VIII,5,15,人名；本段多个同名提及分别保留。
m-chp1-seci-0002,chp-1:01_CHP-1_sec_i:l3-13,cand-3104,Pope,23,27,本次仅纳入紧随 Urban VIII 当选及 Passeri 直接引语中的称谓。
m-chp1-seci-0003,chp-1:01_CHP-1_sec_i:l3-13,cand-3044,Giambattista Passeri,55,75,书内引述的艺术史家。
m-chp1-seci-0004,chp-1:01_CHP-1_sec_i:l3-13,cand-3104,Pope,215,219,本次仅纳入紧随 Urban VIII 当选及 Passeri 直接引语中的称谓。
m-chp1-seci-0005,chp-1:01_CHP-1_sec_i:l3-13,cand-3104,Urban VIII,362,372,人名；本段多个同名提及分别保留。
m-chp1-seci-0006,chp-1:01_CHP-1_sec_i:l3-13,cand-3396,Counter Reformation,593,612,概念名；候选状态待对齐，不据提及直接建 KU。
m-chp1-seci-0007,chp-1:01_CHP-1_sec_i:l3-13,cand-3104,Urban VIII,810,820,人名；本段多个同名提及分别保留。
m-chp1-seci-0008,chp-1:01_CHP-1_sec_i:l3-13,cand-3104,Urban’s,928,935,Urban 的所有格形式。
m-chp1-seci-0009,chp-1:01_CHP-1_sec_i:l3-13,cand-3092,Paul V,960,966,人名；前任教皇。
m-chp1-seci-0010,chp-1:01_CHP-1_sec_i:l3-13,cand-3061,"Gregory
XV",1002,1012,跨物理行断开；语义表面形式为 Gregory XV。
m-chp1-seci-0011,chp-1:01_CHP-1_sec_i:l3-13,cand-3135,St Peter’s,1094,1104,St Peter’s Basilica 的文本简称。
m-chp1-seci-0012,chp-1:01_CHP-1_sec_i:l3-13,cand-3126,Roman,1233,1238,地名派生形容词；指罗马语境，不指现代政治实体。
m-chp1-seci-0013,chp-1:01_CHP-1_sec_i:l3-13,cand-3104,"Urban
VIII",1871,1881,跨物理行断开；语义表面形式为 Urban VIII。
m-chp1-seci-0014,chp-1:01_CHP-1_sec_i:l3-13,cand-3104,this Pope,1997,2006,指前文当选的 Urban VIII，不作泛指教皇。
m-chp1-seci-0015,chp-1:01_CHP-1_sec_i:l3-13,cand-3126,Roman,2061,2066,地名派生形容词；指罗马语境，不指现代政治实体。
m-chp1-seci-0016,chp-1:01_CHP-1_sec_i:l3-13,cand-3071,Lord Arundell,2147,2160,"称谓对应 Thomas Howard, Earl of Arundel；保留原文拼写。"
m-chp1-seci-0018,chp-1:01_CHP-1_sec_i:l3-13,cand-3092,Paul V’s,2188,2196,Paul V 的所有格形式，指其任期。
m-chp1-seci-0019,chp-1:01_CHP-1_sec_i:l3-13,cand-3092,the Prince,2279,2289,引文中的称谓；由前句“Paul V’s ... rule”判定为 Paul V。
m-chp1-seci-0020,chp-1:01_CHP-1_sec_i:l3-13,cand-3104,Pope,1511,1515,指本段 Urban VIII；将教皇的精神/世俗统治角色与其艺术赞助者、家族首长角色相对照。
m-chp1-seci-0021,chp-1:01_CHP-1_sec_i:l15-24,cand-3104,Urban VIII’s,200,212,表面形式 Urban VIII / Urban VIII’s；候选映射按本段语境裁决。
m-chp1-seci-0022,chp-1:01_CHP-1_sec_i:l15-24,cand-3126,Rome,456,460,表面形式 Rome；候选映射按本段语境裁决。
m-chp1-seci-0023,chp-1:01_CHP-1_sec_i:l15-24,cand-3126,Rome,1516,1520,表面形式 Rome；候选映射按本段语境裁决。
m-chp1-seci-0024,chp-1:01_CHP-1_sec_i:l15-24,cand-3126,Rome,2479,2483,表面形式 Rome；候选映射按本段语境裁决。
m-chp1-seci-0025,chp-1:01_CHP-1_sec_i:l15-24,cand-3126,Rome,2732,2736,表面形式 Rome；候选映射按本段语境裁决。
m-chp1-seci-0026,chp-1:01_CHP-1_sec_i:l15-24,cand-3114,Italy,475,480,表面形式 Italy；候选映射按本段语境裁决。
m-chp1-seci-0027,chp-1:01_CHP-1_sec_i:l15-24,cand-3061,Pope Gregory XV,1050,1065,表面形式 Gregory XV；候选映射按本段语境裁决。
m-chp1-seci-0028,chp-1:01_CHP-1_sec_i:l15-24,cand-3061,Pope Gregory XV,2023,2038,表面形式 Gregory XV；候选映射按本段语境裁决。
m-chp1-seci-0029,chp-1:01_CHP-1_sec_i:l15-24,cand-2992,Cardinal Alessandro Peretti-Montalto,1284,1320,表面形式 Alessandro Peretti-Montalto；候选映射按本段语境裁决。
m-chp1-seci-0030,chp-1:01_CHP-1_sec_i:l15-24,cand-3102,"Pope Sixtus
V",1332,1345,表面形式 Sixtus V；候选映射按本段语境裁决。
m-chp1-seci-0031,chp-1:01_CHP-1_sec_i:l15-24,cand-3102,that Pope,1409,1418,表面形式 that Pope；候选映射按本段语境裁决。
m-chp1-seci-0032,chp-1:01_CHP-1_sec_i:l15-24,cand-3397,Florentines,1638,1649,表面形式 Florence；候选映射按本段语境裁决。
m-chp1-seci-0033,chp-1:01_CHP-1_sec_i:l15-24,cand-3398,Bolognese,1651,1660,表面形式 Bologna；候选映射按本段语境裁决。
m-chp1-seci-0034,chp-1:01_CHP-1_sec_i:l15-24,cand-3398,Bolognese,2046,2055,表面形式 Bologna；候选映射按本段语境裁决。
m-chp1-seci-0035,chp-1:01_CHP-1_sec_i:l15-24,cand-3401,Venetians,1664,1673,表面形式 Venice；候选映射按本段语境裁决。
m-chp1-seci-0036,chp-1:01_CHP-1_sec_i:l15-24,cand-3126,Romans,1682,1688,表面形式 Rome；候选映射按本段语境裁决。
