relation_id,subject_ku_id,object_ku_id,predicate,time,role,scope,origin,status,source_id,source_span,source_file,note
rel-0001,units/persons/alessandro-bettagno,units/institutions/cini-institute-of-art-history,employed_by,1954年起；结束时间未载,研究助理，任朱塞佩·菲奥科的助手,基金会资料称自研究所1954年成立时起任助手；没有为助手任期补设终止年份,external,formal,src-18fb505f7172f366,人物简介段,https://www.cini.it/en/eventi/book-launch-venezia-settecento-studi-in-memoria-di-alessandro-bettagno/,
rel-0002,units/persons/alessandro-bettagno,units/institutions/cini-institute-of-art-history,employed_by,1989–2002,所长,艺术史研究所负责人任期,external,formal,src-18fb505f7172f366,人物简介段,https://www.cini.it/en/eventi/book-launch-venezia-settecento-studi-in-memoria-di-alessandro-bettagno/,
rel-0003,units/persons/alessandro-bettagno,units/institutions/ca-foscari-university-venice,employed_by,1972年起；结束时间未载,艺术史教授,Ca’ Foscari外国语言与文学学院艺术史讲席；来源未载任期结束时间,external,formal,src-18fb505f7172f366,人物简介段,https://www.cini.it/en/eventi/book-launch-venezia-settecento-studi-in-memoria-di-alessandro-bettagno/,
rel-0004,units/persons/alessandro-peretti-montalto,units/persons/sixtus-v,kin_of,,侄辈,第一章明确的亲缘称谓；不据此补造父母链,book,formal,haskell-1980-rev-ed,lines 68–70; print pp. 4,02-sources/02-Markdown/01_CHP-1.md,原文明确 Peretti-Montalto 是 Sixtus V 的侄辈，教皇去世后仍有赞助地位。
rel-0005,units/persons/alessandro-peretti-montalto,units/families/peretti-family,member_of,,,,external,formal,src-8ebc5e1cc39b73bc,佩雷蒂家族卡 S6；开篇亲缘与改姓段,https://www.treccani.it/enciclopedia/alessandro-peretti-damasceni_(Dizionario-Biografico)/,母系传名后采用佩雷蒂姓；成员身份不把其170人家户误作亲族。
rel-0006,units/persons/alessandro-vasalli,units/persons/pier-francesco-mola,testified_about,,争议证人,解释Mola对Pamfili的有偿优先服务,book,formal,haskell-1980-rev-ed,lines 179–185; print pp. 6,02-sources/02-Markdown/01_CHP-1.md,在 Mola 与 Pamfili 争议中作证，解释有偿优先服务。
rel-0007,units/persons/alof-de-wignacourt,units/institutions/knights-hospitaller,member_of,1564–1622,成员；1601–1622任大团长,个人在医院骑士团的成员与领导职务,external,formal,src-72febb587a721b40,infobox与Biography导言,https://en.wikipedia.org/wiki/Alof_de_Wignacourt,维尼亚库尔1564年加入医院骑士团，1601年至1622年任大团长。
rel-0008,units/persons/amadeo-swajer,units/persons/johann-conrad-hofmann,trained_by,,家庭教育,家庭教师身份明确，不外推大学学历,external,formal,src-b8e9b1f908fff6e1,印刷p.52教师段；PDF第2页,https://media.agiati.org/page/attachments/memorie-mem-06-i-buoni-ingegni-della-patria-art02-ferrari.pdf,
rel-0009,units/persons/amadeo-swajer,units/persons/katharina-heinzelmann,kin_of,1760年4月底结婚,丈夫→妻子,婚姻开始日期明确，未推定配偶生卒或婚姻结束日期,external,formal,src-b8e9b1f908fff6e1,印刷p.57首段；PDF第7页,https://media.agiati.org/page/attachments/memorie-mem-06-i-buoni-ingegni-della-patria-art02-ferrari.pdf,
rel-0010,units/persons/amadeo-swajer,units/institutions/accademia-degli-agiati,member_of,1752年加入,学会会员,学会吸收为会员，学名Marsio；不推定终止年份,external,formal,src-b8e9b1f908fff6e1,印刷p.58第2节首段；PDF第8页,https://media.agiati.org/page/attachments/memorie-mem-06-i-buoni-ingegni-della-patria-art02-ferrari.pdf,
rel-0011,units/persons/amadeo-swajer,units/places/venice,located_at,1727-12-12出生；1791-12-28去世,出生／去世,出生与去世地点均为威尼斯,external,formal,src-b8e9b1f908fff6e1,印刷p.51末段及p.57首段；PDF第1、7页,https://media.agiati.org/page/attachments/memorie-mem-06-i-buoni-ingegni-della-patria-art02-ferrari.pdf,
rel-0012,units/persons/andrea-camassei,units/persons/domenichino,trained_by,,进入其工作室的学生／助手,Pascoli早期训练叙述；不延伸到其他大师作品研习,external,formal,src-816c814462697cb8,本卡 S8；早期训练段,https://www.treccani.it/enciclopedia/andrea-camassei_(Dizionario-Biografico)/,Pascoli记其早期进入多梅尼基诺工作室；对其他大师作品的研习不作为亲授。
rel-0013,units/persons/andrea-memmo,units/persons/carlo-lodoli,trained_by,,受教者→教师,DBI明确记为学生；不等同大学学位,external,formal,src-087e148c049822f7,著述段：due allievi，Algarotti与A. Memmo,https://www.treccani.it/enciclopedia/carlo-lodoli_(Dizionario-Biografico)/,
rel-0014,units/persons/andrea-pozzo,units/institutions/jesuits,member_of,,,,external,formal,src-2642ba9e6dd62200,本卡 S6；入会与誓愿段,https://www.treccani.it/enciclopedia/andrea-pozzo_(Dizionario-Biografico)/,1665年12月在米兰加入耶稣会；23日／25日异文保留。
rel-0015,units/persons/andrea-procaccini,units/institutions/accademia-di-san-luca,member_of,,,,external,formal,,本卡 S5；生平段,https://en.wikipedia.org/w/index.php?oldid=1366087864,1715年列为圣路加学院成员；本边不包含其西班牙宫廷任职。
rel-0016,units/persons/andrea-procaccini,units/persons/carlo-maratta,trained_by,约1690,工作室学生,素描与临摹训练,external,formal,src-bd0da5df03b3f1d2,本卡 S7；早期训练段,https://www.treccani.it/enciclopedia/andrea-procaccini_(Dizionario-Biografico)/,约1690年在马拉塔工作室接受素描与临摹训练。
