alignment_id,candidate_id,ku_id,external_source,external_id,method,decision,evidence_ref,accessed_date
aln-1,archives/accademia-statutes-confirmed-1621,units/archives/accademia-statutes-confirmed-1621,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-2,archives/ameyden-relazione-1642,units/archives/ameyden-relazione-1642,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-3,archives/armanni-delle-lettere,units/archives/armanni-delle-lettere,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-4,archives/armanni-pamfili-letter-undated,units/archives/armanni-pamfili-letter-undated,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-5,archives/arragona-mantua-letter-1621,units/archives/arragona-mantua-letter-1621,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-6,archives/baldoini-painter-appointment,units/archives/baldoini-painter-appointment,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-7,archives/bertolotti-artisti-bolognesi,units/archives/bertolotti-artisti-bolognesi,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-8,archives/bianconi-letter-1762,units/archives/bianconi-letter-1762,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-9,archives/camassei-sebastian-receipt,units/archives/camassei-sebastian-receipt,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-10,archives/camassei-urban-contract-1633,units/archives/camassei-urban-contract-1633,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-11,archives/caravaggio-altarpieces-contract-1600,units/archives/caravaggio-altarpieces-contract-1600,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-12,archives/cellini-autobiography,units/archives/cellini-autobiography,Wikidata,Q4014886,wikimedia,same,REV-034,2026-09-10
aln-13,archives/coke-arundell-letter-1620,units/archives/coke-arundell-letter-1620,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-14,archives/colnaghi-catalogue-1961,units/archives/colnaghi-catalogue-1961,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-15,archives/de-rosis-ruffo-letter-1663,units/archives/de-rosis-ruffo-letter-1663,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-16,archives/ferri-ruffo-letter-1672,units/archives/ferri-ruffo-letter-1672,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-17,archives/gavasetti-piacenza-contract-1624,units/archives/gavasetti-piacenza-contract-1624,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-18,archives/gessi-leopardi-letter-1647,units/archives/gessi-leopardi-letter-1647,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-19,archives/gini-cortona-letter-1666,units/archives/gini-cortona-letter-1666,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-20,archives/giovanni-adamo-piola-letter-1690,units/archives/giovanni-adamo-piola-letter-1690,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-21,archives/grassi-cortona-bozzetti-1957,units/archives/grassi-cortona-bozzetti-1957,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-22,archives/guercino-ruffo-letter-1649,units/archives/guercino-ruffo-letter-1649,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-23,archives/lanfranco-barberini-letter-1640,units/archives/lanfranco-barberini-letter-1640,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-24,archives/lhoggidi-1627,units/archives/lhoggidi-1627,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-25,archives/minnitti-augusta-terms-1617,units/archives/minnitti-augusta-terms-1617,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-26,archives/mola-borrowed-genealogy-gods,units/archives/mola-borrowed-genealogy-gods,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-27,archives/mola-borrowed-virgil-commentary,units/archives/mola-borrowed-virgil-commentary,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-28,archives/mola-pamfili-contract-1657,units/archives/mola-pamfili-contract-1657,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-29,archives/negri-san-tommaso-letter-1676,units/archives/negri-san-tommaso-letter-1676,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-30,archives/novetti-ruffo-letter-1670,units/archives/novetti-ruffo-letter-1670,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-31,archives/pascoli-trevisani-life-ms1383,units/archives/pascoli-trevisani-life-ms1383,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-32,archives/patrons-and-painters,units/archives/patrons-and-painters,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-33,archives/quarisimini-carrara-letter-1696,units/archives/quarisimini-carrara-letter-1696,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-34,archives/ricci-bologna-terms-1682,units/archives/ricci-bologna-terms-1682,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-35,archives/rosa-ruffo-letter-1666,units/archives/rosa-ruffo-letter-1666,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-36,archives/salviati-medici-letter-1662,units/archives/salviati-medici-letter-1662,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-37,archives/savini-gubbio-terms-1608,units/archives/savini-gubbio-terms-1608,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-38,archives/testi-fontana-bernini-letter,units/archives/testi-fontana-bernini-letter,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-39,archives/vasalli-testimony-mola-pamfili,units/archives/vasalli-testimony-mola-pamfili,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-40,events/accademia-tax-privilege-1633,units/events/accademia-tax-privilege-1633,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-41,events/guercino-iconography-query-1665,units/events/guercino-iconography-query-1665,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-42,events/lanfranco-leo-attila-request-1640,units/events/lanfranco-leo-attila-request-1640,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-43,events/sacchi-household-promotion-1640,units/events/sacchi-household-promotion-1640,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-44,events/schildersbent-formation-1623,units/events/schildersbent-formation-1623,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-45,events/titian-honours-1533,units/events/titian-honours-1533,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-46,institutions/accademia-di-san-luca,units/institutions/accademia-di-san-luca,Wikidata,Q338523,wikimedia,same,REV-034,2026-09-10
aln-47,institutions/aldobrandini-family,units/institutions/aldobrandini-family,Wikidata,Q961820,wikimedia,same,REV-034,2026-09-10
aln-48,institutions/apostolic-chamber,units/institutions/apostolic-chamber,Wikidata,Q620030,wikimedia,same,REV-034,2026-09-10
aln-49,institutions/arcadia,units/institutions/arcadia,Wikidata,Q338478,wikimedia,same,REV-034,2026-09-10
aln-50,institutions/barberini-household,units/institutions/barberini-household,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-51,institutions/barnabites,units/institutions/barnabites,Wikidata,Q620456,wikimedia,same,REV-034,2026-09-10
aln-52,institutions/biblioteca-augusta,units/institutions/biblioteca-augusta,Wikidata,Q3639560,wikimedia,same,REV-034,2026-09-10
aln-53,institutions/biblioteca-casanatense,units/institutions/biblioteca-casanatense,Wikidata,Q2901274,wikimedia,same,REV-034,2026-09-10
aln-54,institutions/borghese-family,units/institutions/borghese-family,Wikidata,Q241133,wikimedia,same,REV-034,2026-09-10
aln-55,institutions/capuchins,units/institutions/capuchins,Wikidata,Q124862,wikimedia,same,REV-034,2026-09-10
aln-56,institutions/colnaghi,units/institutions/colnaghi,Wikidata,Q5147759,wikimedia,same,REV-034,2026-09-10
aln-57,institutions/confraternita-san-giovanni-battista-decollato-bologna,units/institutions/confraternita-san-giovanni-battista-decollato-bologna,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-58,institutions/fabbrica-di-san-pietro,units/institutions/fabbrica-di-san-pietro,Wikidata,Q2381511,wikimedia,same,REV-034,2026-09-10
aln-59,institutions/jesuits,units/institutions/jesuits,Wikidata,Q36380,wikimedia,same,REV-034,2026-09-10
aln-60,institutions/oratorians,units/institutions/oratorians,Wikidata,Q247132,wikimedia,same,REV-034,2026-09-10
aln-61,institutions/peretti-family,units/institutions/peretti-family,Wikidata,Q63522275,wikimedia,same,REV-034,2026-09-10
aln-62,institutions/pinacoteca-vaticana,units/institutions/pinacoteca-vaticana,Wikidata,Q774940,wikimedia,same,REV-034,2026-09-10
aln-63,institutions/schildersbent,units/institutions/schildersbent,Wikidata,Q514377,wikimedia,same,REV-034,2026-09-10
aln-64,institutions/theatines,units/institutions/theatines,Wikidata,Q1414924,wikimedia,same,REV-034,2026-09-10
aln-65,institutions/victoria-and-albert-museum,units/institutions/victoria-and-albert-museum,Wikidata,Q213322,wikimedia,same,REV-034,2026-09-10
aln-66,persons/abate-lancellotti,units/persons/abate-lancellotti,Wikidata,Q15733678,wikimedia,same,REV-034,2026-09-10
aln-67,persons/alessandro-peretti-montalto,units/persons/alessandro-peretti-montalto,Wikidata,Q82659,wikimedia,same,REV-034,2026-09-10
aln-68,persons/alessandro-vasalli,units/persons/alessandro-vasalli,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-69,persons/ameyden,units/persons/ameyden,Wikidata,Q3983865,wikimedia,same,REV-034,2026-09-10
aln-70,persons/andrea-camassei,units/persons/andrea-camassei,Wikidata,Q3615565,wikimedia,same,REV-034,2026-09-10
aln-71,persons/andrea-pozzo,units/persons/andrea-pozzo,Wikidata,Q380103,wikimedia,same,REV-034,2026-09-10
aln-72,persons/andrea-procaccini,units/persons/andrea-procaccini,Wikidata,Q2846401,wikimedia,same,REV-034,2026-09-10
aln-73,persons/andrea-sacchi,units/persons/andrea-sacchi,Wikidata,Q495008,wikimedia,same,REV-034,2026-09-10
aln-74,persons/annibale-carracci,units/persons/annibale-carracci,Wikidata,Q7824,wikimedia,same,REV-034,2026-09-10
aln-75,persons/annibale-laparelli,units/persons/annibale-laparelli,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-76,persons/antonio-barberini,units/persons/antonio-barberini,Wikidata,Q599744,wikimedia,same,REV-034,2026-09-10
aln-77,persons/antonio-ruffo,units/persons/antonio-ruffo,Wikidata,Q88949215,wikimedia,same,REV-034,2026-09-10
aln-78,persons/artemisia-gentileschi,units/persons/artemisia-gentileschi,Wikidata,Q212657,wikimedia,same,REV-034,2026-09-10
