candidate_id,index_entry_id,canonical_name,aliases,suggested_type,index_page_range,index_source_file,status
cand-0000,"'Artistic temperament', development of concept","'Artistic temperament', development of concept",,person,"21, 22, 23",A.csv,open
cand-0001,'Rosichino','Rosichino',,undetermined,52n,Q-R.csv,open
cand-0002,'Status-seeking' by artists in 17th-century Rome,'Status-seeking' by artists in 17th-century Rome,,undetermined,"18, 19, 20, 21, 220",S.csv,open
cand-0003,Accademia Albrizziana,Accademia Albrizziana,,institution,334,A.csv,open
cand-0004,Accademia degli Umoristi,Accademia degli Umoristi,,institution,118,A.csv,open
cand-0005,Accademia dei Lincei,Accademia dei Lincei,,institution,"33, 99",A.csv,open
cand-0006,Accademia del Disegno,Accademia del Disegno,,institution,241,A.csv,open
cand-0007,Accademia di Pittura e Scultura,Accademia di Pittura e Scultura,,institution,"329, 330, 363,331",A.csv,open
cand-0008,Accademia di S. Luca,Accademia di S. Luca,,institution,"17,17, 18, 20, 121,17, 18, 53, 121, 126, 141, 142, 150, 158, 160, 191",A.csv,open
cand-0009,"Acqua, Cristoforo dall'","Acqua, Cristoforo dall'",,person,327,A.csv,open
cand-0010,"Adam, James","Adam, James",,person,"302, 310, 392",A.csv,open
cand-0011,"Adam, Robert","Adam, Robert",,person,"301, 310n, 392,336",A.csv,open
cand-0012,"Adami, Luigi","Adami, Luigi",,person,158,A.csv,open
cand-0013,"Adamo, Giovanni","Adamo, Giovanni",,person,10,A.csv,open
cand-0014,"Adda, Cardinal d'","Adda, Cardinal d'",,person,166n,A.csv,open
cand-0015,"Agucchi, Giovanni Battista","Agucchi, Giovanni Battista",,person,"28, 159, 397-398",A.csv,open
cand-0016,"Aix-la-Chapelle, Peace of","Aix-la-Chapelle, Peace of",,person,318,A.csv,open
cand-0017,"Albani, Cardinal Annibale","Albani, Cardinal Annibale",,person,166n,A.csv,open
cand-0018,"Albani, Francesco","Albani, Francesco",,person,"131, 141, 169, 178",A.csv,open
cand-0019,"Albani, Gianfrancesco (Pope Clement XI)","Albani, Gianfrancesco (Pope Clement XI)",,person,"xviii, 19, 129, 163, 222",A.csv,open
cand-0020,"Albergati-Capacelli, Francesco","Albergati-Capacelli, Francesco",,person,336,A.csv,open
cand-0021,"Albrizzi, Almorò","Albrizzi, Almorò",,person,334,A.csv,open
cand-0022,"Albrizzi, Giambattista","Albrizzi, Giambattista",,person,"334,334, 335,334, 335, 336,334, 335, 336, 343, 345,336,337, 344",A.csv,open
cand-0023,"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)","Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",,person,"25, 160, 171,25, 27, 39, 398",A.csv,open
cand-0024,"Aldobrandini, Ippolito (Pope Clement VIII)","Aldobrandini, Ippolito (Pope Clement VIII)",,person,"25, 26, 67",A.csv,open
cand-0025,"Algardi, Alessandro","Algardi, Alessandro",,person,"148,182, 183,371,59, 71, 91, 148, 159, 176, 182, 183, 190",A.csv,open
cand-0026,"Algarotti, Bonomo","Algarotti, Bonomo",,person,"293, 347, 348, 350n, 355, 356, 357, 361",A.csv,open
cand-0027,"Algarotti, Francesco","Algarotti, Francesco",,person,"256n, 264, 266, 267, 293n, 300, 303, 307, 309, 330, 331, 343, 363, 373, 407, 408, 409,294, 295, 298, 349, 356,319, 320,321,347, 349, 351, 352, 353, 354, 355, 357, 359, 360,347, 349, 357,348,348, 358,349,349, 350, 355,349, 356, 357,350,350, 351,350, 351, 352,352, 353, 354, 355, 356,353,354,354, 355, 359,354, 359,354n,355,356,356, 357, 358,357,357, 358, 359,358,358, 359,359,359, 360,360,360n,361,363",A.csv,open
cand-0028,"Allegrini, Francesco","Allegrini, Francesco",,person,157,A.csv,open
cand-0029,"Altham, James","Altham, James",,person,197,A.csv,open
cand-0030,Alticchiero (Querini villa),Alticchiero (Querini villa),,place,"369, 370, 371, 372",A.csv,open
cand-0031,Altieri palace,Altieri palace,,place,"118, 156, 161",A.csv,open
cand-0032,"Altieri, Don Gasparo","Altieri, Don Gasparo",,person,161,A.csv,open
cand-0033,"Altieri, Emilio (Pope Clement X)","Altieri, Emilio (Pope Clement X)",,person,"118, 161, 162,162",A.csv,open
cand-0034,"Amelot de la Houssaye, A. N.","Amelot de la Houssaye, A. N.",,person,247n,A.csv,open
cand-0035,"Ameyden, Dirk","Ameyden, Dirk",,person,"41, 94, 137n,4n, 137n",A.csv,open
cand-0036,"Amigoni, Jacopo","Amigoni, Jacopo",,person,"251, 271, 286, 295, 297, 340, 351, 405,286, 287, 292,287,315,316,393",A.csv,open
cand-0037,"Andreosi, Francesco","Andreosi, Francesco",,person,366,A.csv,open
cand-0038,"Angeli, Filippo d' (Napoletano)","Angeli, Filippo d' (Napoletano)",,person,"29, 50, 95",A.csv,open
cand-0039,"Angeli, Giuseppe","Angeli, Giuseppe",,person,274,A.csv,open
cand-0040,"Angeloni, Francesco","Angeloni, Francesco",,person,"53n, 114, 158",A.csv,open
cand-0041,"Animuccia, Giovanni","Animuccia, Giovanni",,person,70,A.csv,open
cand-0042,"Anne of Austria, Regent of France","Anne of Austria, Regent of France",,person,182,A.csv,open
cand-0043,"Anne, Queen of England","Anne, Queen of England",,person,"196, 197",A.csv,open
cand-0044,Anti-papal satire in reign of Alexander VII,Anti-papal satire in reign of Alexander VII,,undetermined,"153, 154",A.csv,open
cand-0045,"Antonazzi, Antonio Maria","Antonazzi, Antonio Maria",,person,116n,A.csv,open
cand-0046,"Aquaviva, Claudio","Aquaviva, Claudio",,person,67,A.csv,open
cand-0047,"Arcadia, Society of","Arcadia, Society of",,person,"19, 161, 317, 318",A.csv,open
cand-0048,"Arconato, Galeazzo","Arconato, Galeazzo",,person,106,A.csv,open
cand-0049,Ariosto,Ariosto,,undetermined,"103, 336,339",A.csv,open
cand-0050,"Arlington, Lord","Arlington, Lord",,person,195,A.csv,open
cand-0051,"Armanni, G. A.","Armanni, G. A.",,person,"374, 380",A.csv,open
cand-0052,"Armanni, Vincenzo","Armanni, Vincenzo",,person,9n,A.csv,open
cand-0053,"Arpino, Cavaliere d'","Arpino, Cavaliere d'",,person,"27, 30, 56, 95",A.csv,open
cand-0054,"Arrighi-Landini, Orazio","Arrighi-Landini, Orazio",,person,301n,A.csv,open
cand-0055,Arrighini,Arrighini,,undetermined,194,A.csv,open
cand-0056,Art dealers,Art dealers,,undetermined,"120, 121, 122, 123, 124, 125, 150,265, 306, 312, 346, 373, 374, 375, 376, 377, 378",A.csv,open
cand-0057,Art exhibitions,Art exhibitions,,undetermined,"125,126, 127,127, 128,128, 129, 211,129, 130,240, 241,240, 331, 363,330,331",A.csv,open
cand-0058,"Artist's position in society, Andrea Memmo on","Artist's position in society, Andrea Memmo on",,person,"330, 394, 395",A.csv,open
cand-0059,"Artists, status of in 17th-century Rome","Artists, status of in 17th-century Rome",,person,"16, 17, 18, 19, 20, 21, 22, 23, 220",A.csv,open
cand-0060,"Arundel, Lord","Arundel, Lord",,person,"3, 97, 177, 179, 341",A.csv,open
cand-0061,"Assereto, Gioacchino","Assereto, Gioacchino",,person,197,A.csv,open
cand-0062,"Astalli (Pamfili), Camillo","Astalli (Pamfili), Camillo",,person,148,A.csv,open
cand-0063,"Audran, Benoit","Audran, Benoit",,person,370,A.csv,open
cand-0064,"Augustus II of Poland (Frederick Augustus I, Elector of Saxony)","Augustus II of Poland (Frederick Augustus I, Elector of Saxony)",,person,"266, 278, 294,294",A.csv,open
cand-0065,"Augustus III of Poland (Frederick Augustus II, Elector of Saxony)","Augustus III of Poland (Frederick Augustus II, Elector of Saxony)",,person,"277, 294, 295, 298, 307, 344, 349, 350, 351,294,294, 295, 298, 349, 350, 351, 353, 355,294, 295, 350, 351,295",A.csv,open
cand-0066,"Azzolini, Cardinal","Azzolini, Cardinal",,person,128,A.csv,open
cand-0067,Baccinelli,Baccinelli,,undetermined,195,B.csv,open
cand-0068,"Bacon, Sir Francis","Bacon, Sir Francis",,person,"107n, 320, 370",B.csv,open
