ku_id,type,canonical_name,name_en,source_task,created,updated,card_path
units/archives/accademia-statutes-confirmed-1621,archive,圣路加学院章程（1621 年确认）,Statutes of the Accademia di S. Luca (confirmed in 1621),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/accademia-statutes-confirmed-1621.md
units/archives/aedes-barberinae-ad-quirinalem,archive,奎里纳尔山的巴贝里尼宫,Aedes Barberinae ad Quirinalem,front-matter,2026-09-14,2026-09-15,04-knowledge/units/archives/aedes-barberinae-ad-quirinalem.md
units/archives/ameyden-relazione-1642,archive,《罗马城记述》（1642）,Account of the City of Rome (1642),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/ameyden-relazione-1642.md
units/archives/apollo-periodical,archive,阿波罗期刊,Apollo,front-matter,2026-09-14,2026-09-14,04-knowledge/units/archives/apollo-periodical.md
units/archives/armanni-delle-lettere,archive,阿尔曼尼《书信集》,Armanni's Collected Letters,,2026-09-09,2026-09-14,04-knowledge/units/archives/armanni-delle-lettere.md
units/archives/armanni-pamfili-letter-undated,archive,温琴佐·阿尔曼尼致卡米洛·潘菲利的装饰建议信（日期未明）,Letter from Vincenzo Armanni to Camillo Pamfili on Decoration (undated),,2026-09-09,2026-09-14,04-knowledge/units/archives/armanni-pamfili-letter-undated.md
units/archives/arragona-mantua-letter-1621,archive,法布里齐奥·阿拉戈纳致曼图亚公国大臣的信（1621-10-09）,Letter from Fabrizio Arragona to a Mantuan Ducal Minister (1621-10-09),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/arragona-mantua-letter-1621.md
units/archives/baldoini-painter-appointment,archive,毛里齐奥任命巴尔多伊诺为本府画家的文字,Maurice of Savoy’s appointment of Baldoino as his painter,,2026-09-09,2026-09-14,04-knowledge/units/archives/baldoini-painter-appointment.md
units/archives/bertolotti-artisti-bolognesi,archive,贝尔托洛蒂《罗马的博洛尼亚、费拉拉及原教皇国其他艺术家》,"Bertolotti's Bolognese, Ferrarese and Other Artists of the Former Papal States in Rome",chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/bertolotti-artisti-bolognesi.md
units/archives/bianconi-letter-1762,archive,乔万尼·洛多维科·比安科尼致菲利波·埃尔科拉尼侯爵的信（1762-11-22）,Letter from Giovanni Ludovico Bianconi to Marchese Filippo Hercolani (1762-11-22),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/bianconi-letter-1762.md
