enrichment_id,ku_id,citation_index,source_id,candidate_source_ids,match_method,resolution_status
enr-00001,units/archives/accademia-statutes-confirmed-1621,0,haskell-1980-rev-ed,haskell-1980-rev-ed,normalized_exact_citation,resolved_unique
enr-08537,units/archives/accademia-statutes-confirmed-1621,0,src-d0b14170bcfaa9cf,src-d0b14170bcfaa9cf,normalized_exact_citation,resolved_unique
enr-08538,units/archives/accademia-statutes-confirmed-1621,0,haskell-1980-rev-ed,haskell-1980-rev-ed,normalized_exact_citation,resolved_unique
enr-08538,units/archives/accademia-statutes-confirmed-1621,1,src-d0b14170bcfaa9cf,src-d0b14170bcfaa9cf,normalized_exact_citation,resolved_unique
enr-08539,units/archives/accademia-statutes-confirmed-1621,0,haskell-1980-rev-ed,haskell-1980-rev-ed,normalized_exact_citation,resolved_unique
enr-08539,units/archives/accademia-statutes-confirmed-1621,1,src-d0b14170bcfaa9cf,src-d0b14170bcfaa9cf,normalized_exact_citation,resolved_unique
enr-08540,units/archives/accademia-statutes-confirmed-1621,0,haskell-1980-rev-ed,haskell-1980-rev-ed,normalized_exact_citation,resolved_unique
enr-08540,units/archives/accademia-statutes-confirmed-1621,1,src-d0b14170bcfaa9cf,src-d0b14170bcfaa9cf,normalized_exact_citation,resolved_unique
enr-08541,units/archives/accademia-statutes-confirmed-1621,0,src-d0b14170bcfaa9cf,src-d0b14170bcfaa9cf,normalized_exact_citation,resolved_unique
enr-08542,units/archives/accademia-statutes-confirmed-1621,0,src-d0b14170bcfaa9cf,src-d0b14170bcfaa9cf,normalized_exact_citation,resolved_unique
enr-08543,units/archives/accademia-statutes-confirmed-1621,0,src-d0b14170bcfaa9cf,src-d0b14170bcfaa9cf,normalized_exact_citation,resolved_unique
enr-00009,units/archives/accademia-statutes-confirmed-1621,0,src-d0b14170bcfaa9cf,src-d0b14170bcfaa9cf,normalized_exact_citation,resolved_unique
enr-00009,units/archives/accademia-statutes-confirmed-1621,1,src-6a38cc3c34a16a86,src-6a38cc3c34a16a86,normalized_exact_citation,resolved_unique
enr-08544,units/archives/accademia-statutes-confirmed-1621,0,src-d0b14170bcfaa9cf,src-d0b14170bcfaa9cf,normalized_exact_citation,resolved_unique
enr-08545,units/archives/accademia-statutes-confirmed-1621,0,src-d0b14170bcfaa9cf,src-d0b14170bcfaa9cf,normalized_exact_citation,resolved_unique
enr-00012,units/archives/aedes-barberinae-ad-quirinalem,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-00014,units/archives/aedes-barberinae-ad-quirinalem,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-00015,units/archives/aedes-barberinae-ad-quirinalem,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-00016,units/archives/aedes-barberinae-ad-quirinalem,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-00017,units/archives/aedes-barberinae-ad-quirinalem,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-00018,units/archives/aedes-barberinae-ad-quirinalem,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-08546,units/archives/aedes-barberinae-ad-quirinalem,0,src-3ee94500ab90cb2c,src-3ee94500ab90cb2c,normalized_exact_citation,resolved_unique
enr-08547,units/archives/aedes-barberinae-ad-quirinalem,0,src-3ee94500ab90cb2c,src-3ee94500ab90cb2c,normalized_exact_citation,resolved_unique
enr-08548,units/archives/aedes-barberinae-ad-quirinalem,0,src-3ee94500ab90cb2c,src-3ee94500ab90cb2c,normalized_exact_citation,resolved_unique
enr-08549,units/archives/aedes-barberinae-ad-quirinalem,0,src-520740f991f12562,src-520740f991f12562,normalized_exact_citation,resolved_unique
enr-00023,units/archives/aedes-barberinae-ad-quirinalem,0,src-520740f991f12562,src-520740f991f12562,normalized_exact_citation,resolved_unique
enr-00023,units/archives/aedes-barberinae-ad-quirinalem,1,src-3ee94500ab90cb2c,src-3ee94500ab90cb2c,normalized_exact_citation,resolved_unique
enr-08550,units/archives/aedes-barberinae-ad-quirinalem,0,src-520740f991f12562,src-520740f991f12562,normalized_exact_citation,resolved_unique
enr-08551,units/archives/aedes-barberinae-ad-quirinalem,0,src-3ee94500ab90cb2c,src-3ee94500ab90cb2c,normalized_exact_citation,resolved_unique
enr-08552,units/archives/aedes-barberinae-ad-quirinalem,0,src-3ee94500ab90cb2c,src-3ee94500ab90cb2c,normalized_exact_citation,resolved_unique
enr-00029,units/archives/ameyden-relazione-1642,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-08553,units/archives/ameyden-relazione-1642,0,src-a71e9e5a5f70b95e,src-a71e9e5a5f70b95e,normalized_exact_citation,resolved_unique
enr-08554,units/archives/ameyden-relazione-1642,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-08554,units/archives/ameyden-relazione-1642,1,src-a71e9e5a5f70b95e,src-a71e9e5a5f70b95e,normalized_exact_citation,resolved_unique
enr-08555,units/archives/ameyden-relazione-1642,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-08555,units/archives/ameyden-relazione-1642,1,src-a71e9e5a5f70b95e,src-a71e9e5a5f70b95e,normalized_exact_citation,resolved_unique
enr-08556,units/archives/ameyden-relazione-1642,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-08556,units/archives/ameyden-relazione-1642,1,src-a71e9e5a5f70b95e,src-a71e9e5a5f70b95e,normalized_exact_citation,resolved_unique
enr-08557,units/archives/ameyden-relazione-1642,0,src-a71e9e5a5f70b95e,src-a71e9e5a5f70b95e,normalized_exact_citation,resolved_unique
enr-08558,units/archives/ameyden-relazione-1642,0,src-a71e9e5a5f70b95e,src-a71e9e5a5f70b95e,normalized_exact_citation,resolved_unique
enr-08559,units/archives/ameyden-relazione-1642,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-08559,units/archives/ameyden-relazione-1642,1,src-a71e9e5a5f70b95e,src-a71e9e5a5f70b95e,normalized_exact_citation,resolved_unique
enr-08560,units/archives/ameyden-relazione-1642,0,src-a71e9e5a5f70b95e,src-a71e9e5a5f70b95e,normalized_exact_citation,resolved_unique
enr-08561,units/archives/ameyden-relazione-1642,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-08561,units/archives/ameyden-relazione-1642,1,src-a71e9e5a5f70b95e,src-a71e9e5a5f70b95e,normalized_exact_citation,resolved_unique
enr-08562,units/archives/ameyden-relazione-1642,0,src-a71e9e5a5f70b95e,src-a71e9e5a5f70b95e,normalized_exact_citation,resolved_unique
enr-08563,units/archives/ameyden-relazione-1642,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-08563,units/archives/ameyden-relazione-1642,1,src-a71e9e5a5f70b95e,src-a71e9e5a5f70b95e,normalized_exact_citation,resolved_unique
enr-08564,units/archives/ameyden-relazione-1642,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-08564,units/archives/ameyden-relazione-1642,1,src-a71e9e5a5f70b95e,src-a71e9e5a5f70b95e,normalized_exact_citation,resolved_unique
enr-08565,units/archives/ameyden-relazione-1642,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-08565,units/archives/ameyden-relazione-1642,1,src-a71e9e5a5f70b95e,src-a71e9e5a5f70b95e,normalized_exact_citation,resolved_unique
enr-08566,units/archives/ameyden-relazione-1642,0,src-7edc49039f24d918,src-7edc49039f24d918,normalized_exact_citation,resolved_unique
enr-08567,units/archives/ameyden-relazione-1642,0,src-7edc49039f24d918,src-7edc49039f24d918,normalized_exact_citation,resolved_unique
enr-00046,units/archives/apollo-periodical,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-00048,units/archives/apollo-periodical,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-08568,units/archives/apollo-periodical,0,src-4508c89112f992d5,src-4508c89112f992d5,normalized_exact_citation,resolved_unique
enr-08569,units/archives/apollo-periodical,0,src-4508c89112f992d5,src-4508c89112f992d5,normalized_exact_citation,resolved_unique
enr-08570,units/archives/apollo-periodical,0,src-4508c89112f992d5,src-4508c89112f992d5,normalized_exact_citation,resolved_unique
enr-08571,units/archives/apollo-periodical,0,src-4508c89112f992d5,src-4508c89112f992d5,normalized_exact_citation,resolved_unique
enr-00053,units/archives/apollo-periodical,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-00054,units/archives/apollo-periodical,0,haskell-1980-rev-ed,haskell-1980-rev-ed,work_author_title_year,resolved_unique
enr-08572,units/archives/armanni-delle-lettere,0,,,,no_exact_match
