ku_id,type,canonical_name,name_en,source_task
units/archives/accademia-statutes-confirmed-1621,archive,圣路加学院章程（1621 年确认）,Statutes of the Accademia di S. Luca (confirmed in 1621),chp-1
units/archives/aedes-barberinae-ad-quirinalem,archive,奎里纳尔山的巴贝里尼宫,Aedes Barberinae ad Quirinalem,front-matter
units/archives/ameyden-relazione-1642,archive,《罗马城记述》（1642）,Account of the City of Rome (1642),chp-1
units/archives/apollo-periodical,archive,阿波罗期刊,Apollo,front-matter
units/archives/armanni-delle-lettere,archive,阿尔曼尼《书信集》,Armanni's Collected Letters,
units/archives/armanni-pamfili-letter-undated,archive,温琴佐·阿尔曼尼致卡米洛·潘菲利的装饰建议信（日期未明）,Letter from Vincenzo Armanni to Camillo Pamfili on Decoration (undated),
units/archives/arragona-mantua-letter-1621,archive,法布里齐奥·阿拉戈纳致曼图亚公国大臣的信（1621-10-09）,Letter from Fabrizio Arragona to a Mantuan Ducal Minister (1621-10-09),chp-1
units/archives/baldoini-painter-appointment,archive,毛里齐奥任命巴尔多伊诺为本府画家的文字,Maurice of Savoy’s appointment of Baldoino as his painter,
units/archives/bertolotti-artisti-bolognesi,archive,贝尔托洛蒂《罗马的博洛尼亚、费拉拉及原教皇国其他艺术家》,"Bertolotti's Bolognese, Ferrarese and Other Artists of the Former Papal States in Rome",chp-1
units/archives/bianconi-letter-1762,archive,乔万尼·洛多维科·比安科尼致菲利波·埃尔科拉尼侯爵的信（1762-11-22）,Letter from Giovanni Ludovico Bianconi to Marchese Filippo Hercolani (1762-11-22),chp-1
units/archives/burlington-magazine,archive,《伯灵顿杂志》,The Burlington Magazine,front-matter
units/archives/camassei-sebastian-receipt,archive,卡马塞伊圣塞巴斯蒂安祭坛画付款令刊录,Published Payment Order for Camassei’s Saint Sebastian Altarpiece,
units/archives/camassei-urban-contract-1633,archive,卡马塞伊与乌尔班八世的合同（1633）,Contract between Camassei and Urban VIII (1633),chp-1
units/archives/caravaggio-altarpieces-contract-1600,archive,卡拉瓦乔两幅祭坛画的合同（1600）,Contract for Caravaggio's Two Altarpieces (1600),chp-1
units/archives/cellini-autobiography,archive,本韦努托·切利尼自传《生平》,The Life of Benvenuto Cellini,chp-1
