candidate_id,index_entry_id,canonical_name,index_page_range,suggested_type,status,index_source_file,sub_entry,detail,exclude_reason,candidate_origin,candidate_source_ref
cand-0001,A.csv#0,Accademia Albrizziana,334,,open,A.csv,,,,,
cand-0002,A.csv#1,Accademia degli Umoristi,118,,open,A.csv,,,,,
cand-0003,A.csv#2,Accademia dei Lincei,"33, 99",,open,A.csv,,,,,
cand-0004,A.csv#3,Accademia del Disegno,241,,open,A.csv,,,,,
cand-0005,A.csv#4,Accademia di Pittura e Scultura,"329, 330, 363",,open,A.csv,,,,,
cand-0006,A.csv#5,Accademia di Pittura e Scultura,331,,open,A.csv,art exhibitions,,,,
cand-0007,A.csv#6,Accademia di S. Luca,"17, 18, 53, 121, 126, 141, 142, 150, 158, 160, 191",,open,A.csv,,,,,
cand-0008,A.csv#7,Accademia di S. Luca,17,,open,A.csv,Cardinal Francesco Barberini as protector of,,,,
cand-0009,A.csv#8,Accademia di S. Luca,"17, 18, 20, 121",,open,A.csv,powers of taxation,,,,
cand-0010,A.csv#9,"Acqua, Cristoforo dall'",327,,open,A.csv,,,,,
cand-0011,A.csv#10,"Adam, James","302, 310, 392",,open,A.csv,,,,,
cand-0012,A.csv#11,"Adam, Robert","301, 310n, 392",,open,A.csv,,,,,
cand-0013,A.csv#12,"Adam, Robert",336,,open,A.csv,and G. Albrizzi,,,,
cand-0014,A.csv#13,"Adami, Luigi",,,open,A.csv,,,,,
cand-0015,A.csv#14,"Adami, Luigi",158,,open,A.csv,collection of portraits of distinguished men,,,,
cand-0016,A.csv#15,"Adamo, Giovanni",10,,open,A.csv,,,,,
cand-0017,A.csv#16,"Adda, Cardinal d'",166n,,open,A.csv,,,,,
cand-0018,A.csv#17,"Agucchi, Giovanni Battista","28, 159, 397-398",,open,A.csv,,,,,
cand-0019,A.csv#18,"Aix-la-Chapelle, Peace of",318,,open,A.csv,,,,,
cand-0020,A.csv#19,"Albani, Cardinal Annibale",166n,,open,A.csv,,,,,
cand-0021,A.csv#20,"Albani, Francesco","131, 141, 169, 178",,open,A.csv,,,,,
cand-0022,A.csv#21,"Albani, Gianfrancesco (Pope Clement XI)","xviii, 19, 129, 163, 222",,open,A.csv,,,,,
cand-0023,A.csv#22,"Albergati-Capacelli, Francesco",336,,open,A.csv,,,,,
cand-0024,A.csv#23,"Albrizzi, Almorò",334,,open,A.csv,,,,,
cand-0025,A.csv#24,"Albrizzi, Giambattista","334, 335, 336, 343, 345",,open,A.csv,,,,,
cand-0026,A.csv#25,"Albrizzi, Giambattista","334, 335",,open,A.csv,edition of works of Bossuet,,,,
cand-0027,A.csv#26,"Albrizzi, Giambattista","334, 335, 336",,open,A.csv,employment of Piazzetta,,,,
cand-0028,A.csv#27,"Albrizzi, Giambattista",334,,open,A.csv,Il Forestiere Illuminato,,,,
cand-0029,A.csv#28,"Albrizzi, Giambattista",336,,open,A.csv,private collection,,,,
cand-0030,A.csv#29,"Albrizzi, Giambattista","337, 344",,open,A.csv,publication of gems in A. M. Zanetti's collection,,,,
cand-0031,A.csv#30,"Aldobrandini, Ippolito (Pope Clement VIII)","25, 26, 67",,open,A.csv,,,,,
cand-0032,A.csv#31,"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)","25, 27, 39, 398",,open,A.csv,,,,,
cand-0033,A.csv#32,"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)","25, 160, 171",,open,A.csv,Titian Bacchanal and Worship of Venus,,,,
cand-2889,A.csv#33,Alexander VII,,,excluded,A.csv,"see under Chigi, Fabio",,"索引交叉引用：see under Chigi, Fabio",,
cand-2890,A.csv#34,Alexander VIII,,,excluded,A.csv,"see under Ottoboni, Pietro",,"索引交叉引用：see under Ottoboni, Pietro",,
cand-0034,A.csv#35,"Algardi, Alessandro","59, 71, 91, 148, 159, 176, 182, 183, 190",,open,A.csv,,,,,
cand-0035,A.csv#36,"Algardi, Alessandro",148,,open,A.csv,bust of Donna Olimpia Maidalchini,,,,
cand-0036,A.csv#37,"Algardi, Alessandro",148,,open,A.csv,bust of Pope Innocent X,,,,
cand-0037,A.csv#38,"Algardi, Alessandro",371,,open,A.csv,Hercules,,,,
cand-0038,A.csv#39,"Algardi, Alessandro","182, 183",,open,A.csv,Mazarin invitation to Paris,,,,
cand-0039,A.csv#40,"Algardi, Alessandro",148,,open,A.csv,villa for Prince Camillo Pamfili,,,,
