reference_id,enrichment_id,ku_id,content_field,cell_index,link_index,link_label,target_type,target_id,resolution_status
ref-e389b028ba14c36d,enr-00015,units/archives/aedes-barberinae-ad-quirinalem,value,,0,《巴贝里尼宫》卷首图,entity,units/works/guido-abbatini-frontispiece-of-aedes-barberinae-ad-quirinalem,resolved_entity
ref-67b846ff98481d78,enr-00015,units/archives/aedes-barberinae-ad-quirinalem,cells,1,0,《巴贝里尼宫》卷首图,entity,units/works/guido-abbatini-frontispiece-of-aedes-barberinae-ad-quirinalem,resolved_entity
ref-1c7c674ea5d4c3d6,enr-00016,units/archives/aedes-barberinae-ad-quirinalem,value,,0,吉罗拉莫·泰蒂,entity,units/persons/girolamo-teti,resolved_entity
ref-b5edb3eb580031ce,enr-00016,units/archives/aedes-barberinae-ad-quirinalem,cells,1,0,吉罗拉莫·泰蒂,entity,units/persons/girolamo-teti,resolved_entity
ref-5df5a4059630c220,enr-00017,units/archives/aedes-barberinae-ad-quirinalem,value,,0,罗马,entity,units/places/rome,resolved_entity
ref-0b8da55d87641896,enr-00017,units/archives/aedes-barberinae-ad-quirinalem,cells,1,0,罗马,entity,units/places/rome,resolved_entity
ref-abbea5b64a2f7c40,enr-00023,units/archives/aedes-barberinae-ad-quirinalem,value,,0,罗马马斯卡尔迪,entity,units/institutions/mascardi-rome,resolved_entity
ref-2d78cac082c17355,enr-00023,units/archives/aedes-barberinae-ad-quirinalem,cells,1,0,罗马马斯卡尔迪,entity,units/institutions/mascardi-rome,resolved_entity
ref-113f73a344ee6816,enr-08554,units/archives/ameyden-relazione-1642,value,,0,迪尔克·范·阿梅登（Dirk van Ameyden）,entity,units/persons/ameyden,resolved_entity
ref-b3186962dfe4b091,enr-08554,units/archives/ameyden-relazione-1642,cells,1,0,迪尔克·范·阿梅登（Dirk van Ameyden）,entity,units/persons/ameyden,resolved_entity
ref-cdfde2a4296f247d,enr-08563,units/archives/ameyden-relazione-1642,value,,0,卡萨纳滕塞图书馆（Biblioteca Casanatense）,entity,units/institutions/biblioteca-casanatense,resolved_entity
ref-4e911e08c3c77ed8,enr-08563,units/archives/ameyden-relazione-1642,value,,1,罗马,entity,units/places/rome,resolved_entity
ref-8bac22c2966d80ff,enr-08563,units/archives/ameyden-relazione-1642,cells,1,0,卡萨纳滕塞图书馆（Biblioteca Casanatense）,entity,units/institutions/biblioteca-casanatense,resolved_entity
ref-8f5d256596f81aee,enr-08563,units/archives/ameyden-relazione-1642,cells,1,1,罗马,entity,units/places/rome,resolved_entity
ref-a5cd045531552df8,enr-00053,units/archives/apollo-periodical,value,,0,昂纳《赞助人与画家》书评,entity,units/archives/honour-patrons-painters-review-1963,resolved_entity
ref-002101518d9dae9d,enr-00053,units/archives/apollo-periodical,cells,1,0,昂纳《赞助人与画家》书评,entity,units/archives/honour-patrons-painters-review-1963,resolved_entity
ref-68edb322e3bc0e60,enr-08578,units/archives/armanni-pamfili-letter-undated,value,,0,温琴佐·阿尔曼尼,entity,units/persons/vincenzo-armanni-ch1,resolved_entity
ref-40d8094a8cf558f1,enr-08578,units/archives/armanni-pamfili-letter-undated,cells,1,0,温琴佐·阿尔曼尼,entity,units/persons/vincenzo-armanni-ch1,resolved_entity
ref-59e51e2971732e68,enr-08579,units/archives/armanni-pamfili-letter-undated,value,,0,卡米洛·潘菲利,entity,units/persons/camillo-pamfili,resolved_entity
ref-9c072fde85f33c5a,enr-08579,units/archives/armanni-pamfili-letter-undated,cells,1,0,卡米洛·潘菲利,entity,units/persons/camillo-pamfili,resolved_entity
ref-fb68711c684dcfb8,enr-08583,units/archives/armanni-pamfili-letter-undated,value,,0,《书信集》,entity,units/archives/armanni-delle-lettere,resolved_entity
ref-c65d9305cfdba990,enr-08583,units/archives/armanni-pamfili-letter-undated,cells,1,0,《书信集》,entity,units/archives/armanni-delle-lettere,resolved_entity
ref-f589a0d653b7722f,enr-00099,units/archives/burlington-magazine,value,,0,皮埃尔·勒格罗与晚期巴洛克罗马雕塑家的设计师角色,entity,units/archives/conforti-legros-designers-1977,resolved_entity
ref-2e445faa3d87a246,enr-00099,units/archives/burlington-magazine,cells,1,0,皮埃尔·勒格罗与晚期巴洛克罗马雕塑家的设计师角色,entity,units/archives/conforti-legros-designers-1977,resolved_entity
ref-62d92eb840bb490e,enr-08631,units/archives/camassei-sebastian-receipt,value,,0,贝尔托洛蒂著作,entity,units/archives/bertolotti-artisti-bolognesi,resolved_entity
ref-a452b88c028528d0,enr-08631,units/archives/camassei-sebastian-receipt,cells,1,0,贝尔托洛蒂著作,entity,units/archives/bertolotti-artisti-bolognesi,resolved_entity
ref-470a05d1704a5598,enr-00142,units/archives/conforti-legros-designers-1977,value,,0,迈克尔·康福尔蒂,entity,units/persons/michael-conforti,resolved_entity
ref-19b7f7da70fb480c,enr-00142,units/archives/conforti-legros-designers-1977,cells,1,0,迈克尔·康福尔蒂,entity,units/persons/michael-conforti,resolved_entity
