segment_id,source_id,chapter,section,source_asset,line_start,line_end,sha256,asset_sha256,release_excluded
front-matter:00_01_Title_Copyright:l1-1,haskell-1980-rev-ed,front-matter,00_01_Title_Copyright,00_01_Title_Copyright.md,1,1,86eb269c2ee4eebcc5b062e183d5b788d2ad30428b6cbb47db2e9ea5c053f5d9,75dfb1077cb870473ecb3a5576fe6b5ef5b2d244bfe43dc55d884d66ebfe1c32,True
front-matter:00_01_Title_Copyright:l3-12,haskell-1980-rev-ed,front-matter,00_01_Title_Copyright,00_01_Title_Copyright.md,3,12,11f29ceeb14f079c9b5f2b1168a0c1d98b5c4934ad3d09889ab0b0df15f85329,75dfb1077cb870473ecb3a5576fe6b5ef5b2d244bfe43dc55d884d66ebfe1c32,True
front-matter:00_01_Title_Copyright:l14-29,haskell-1980-rev-ed,front-matter,00_01_Title_Copyright,00_01_Title_Copyright.md,14,29,a534ca68ef97050c4c5287d66dd7086a020f2618d27e5a8a4167438aa678bc17,75dfb1077cb870473ecb3a5576fe6b5ef5b2d244bfe43dc55d884d66ebfe1c32,True
front-matter:00_01_Title_Copyright:l31-31,haskell-1980-rev-ed,front-matter,00_01_Title_Copyright,00_01_Title_Copyright.md,31,31,d3f1696221f80e64aebdf5ab8f99e51cf37a8b56c70bf542796aed8edcebbc68,75dfb1077cb870473ecb3a5576fe6b5ef5b2d244bfe43dc55d884d66ebfe1c32,True
front-matter:00_02_Preface_2nd_Ed:l1-1,haskell-1980-rev-ed,front-matter,00_02_Preface_2nd_Ed,00_02_Preface_2nd_Ed.md,1,1,9e96876bb68671776b10f5a9503fb3c0378c871f3f0f12390b2b0ec3449c31d4,8de19ec8cbf405958ad3c47f1cf4023a18a4fce8323e3e34b93ad36dfed3d7d0,True
front-matter:00_02_Preface_2nd_Ed:l3-8,haskell-1980-rev-ed,front-matter,00_02_Preface_2nd_Ed,00_02_Preface_2nd_Ed.md,3,8,e5d7bd5337ab4d00b55be362364effa920c7d845fac683b0db017e61a0f123f8,8de19ec8cbf405958ad3c47f1cf4023a18a4fce8323e3e34b93ad36dfed3d7d0,True
front-matter:00_02_Preface_2nd_Ed:l10-17,haskell-1980-rev-ed,front-matter,00_02_Preface_2nd_Ed,00_02_Preface_2nd_Ed.md,10,17,34e5cbe61f41dfe661be28b86e44bb279fda4adc75b0d373d9560c42f5767fa5,8de19ec8cbf405958ad3c47f1cf4023a18a4fce8323e3e34b93ad36dfed3d7d0,True
front-matter:00_02_Preface_2nd_Ed:l19-19,haskell-1980-rev-ed,front-matter,00_02_Preface_2nd_Ed,00_02_Preface_2nd_Ed.md,19,19,a6fde1ef3e659fd3e7b4d4dc143a0667e5f78e893b328ce3990964b7323de17c,8de19ec8cbf405958ad3c47f1cf4023a18a4fce8323e3e34b93ad36dfed3d7d0,True
front-matter:00_03_Preface_1st_Ed:l1-1,haskell-1980-rev-ed,front-matter,00_03_Preface_1st_Ed,00_03_Preface_1st_Ed.md,1,1,faa79ec549024906f9fa7ef0dcc5d330356786aec6db04a4cd9a8d80c86bfbbc,e793793f71fc5e9b9ba97a1c12fa50d497ec4de89f3c19f247c4a93228618c4a,True
front-matter:00_03_Preface_1st_Ed:l3-8,haskell-1980-rev-ed,front-matter,00_03_Preface_1st_Ed,00_03_Preface_1st_Ed.md,3,8,8944577715ae630432869a25801578dd86b91448e0b0880c449ea5efcd351afa,e793793f71fc5e9b9ba97a1c12fa50d497ec4de89f3c19f247c4a93228618c4a,True
front-matter:00_03_Preface_1st_Ed:l10-17,haskell-1980-rev-ed,front-matter,00_03_Preface_1st_Ed,00_03_Preface_1st_Ed.md,10,17,1caebe49f2b5f4361352d1d35ae173890789645a01143860650a12ea6df25602,e793793f71fc5e9b9ba97a1c12fa50d497ec4de89f3c19f247c4a93228618c4a,True
front-matter:00_03_Preface_1st_Ed:l19-29,haskell-1980-rev-ed,front-matter,00_03_Preface_1st_Ed,00_03_Preface_1st_Ed.md,19,29,e6cf252331b6e5f64eaf1518f9de020715a229a9a040834f1d0214f4b1ab73f0,e793793f71fc5e9b9ba97a1c12fa50d497ec4de89f3c19f247c4a93228618c4a,True
front-matter:00_03_Preface_1st_Ed:l31-31,haskell-1980-rev-ed,front-matter,00_03_Preface_1st_Ed,00_03_Preface_1st_Ed.md,31,31,f4b905388ccbc545f3f8745c225c5078866e8d421f374d5bf01fe5f2369ccef2,e793793f71fc5e9b9ba97a1c12fa50d497ec4de89f3c19f247c4a93228618c4a,True
front-matter:00_04_Contents:l1-1,haskell-1980-rev-ed,front-matter,00_04_Contents,00_04_Contents.md,1,1,054d363b317244fdfa257d6968d0b731bda04b31e878b4887ffb565f8a5185cd,c808682cc2d3d10e01ff871d3f575a9c295779b997ea68009f94915bf463cadb,True
front-matter:00_04_Contents:l3-3,haskell-1980-rev-ed,front-matter,00_04_Contents,00_04_Contents.md,3,3,437aea62a5bd6ad4762e494c81b88532809a231477c82bdecf6fd6636908b7ab,c808682cc2d3d10e01ff871d3f575a9c295779b997ea68009f94915bf463cadb,True
front-matter:00_05_List_of_Plates:l1-1,haskell-1980-rev-ed,front-matter,00_05_List_of_Plates,00_05_List_of_Plates.md,1,1,10523cb198c4f9b02e53ed446fd0cc962ffeda3fb7a610dfda6fa2779bd19ecc,96aa11521c311c17676147c3ec99fb47d7cf9042a13bc58768c3742553ac5f83,True
front-matter:00_05_List_of_Plates:l3-30,haskell-1980-rev-ed,front-matter,00_05_List_of_Plates,00_05_List_of_Plates.md,3,30,402d9fd7d058514a6a868313ff0f41d190c4fd1ae189d1ff7a97df4d4978fb6f,96aa11521c311c17676147c3ec99fb47d7cf9042a13bc58768c3742553ac5f83,True
front-matter:00_05_List_of_Plates:l32-65,haskell-1980-rev-ed,front-matter,00_05_List_of_Plates,00_05_List_of_Plates.md,32,65,5f82980ede7ea866a397dad977969665104f6e56444b00cf829bbb24c4426a8c,96aa11521c311c17676147c3ec99fb47d7cf9042a13bc58768c3742553ac5f83,True
front-matter:00_05_List_of_Plates:l67-68,haskell-1980-rev-ed,front-matter,00_05_List_of_Plates,00_05_List_of_Plates.md,67,68,e48dfdf48f911d20de1ff81b14d1119c0d64758f18e76c7f30c9194a4a69f543,96aa11521c311c17676147c3ec99fb47d7cf9042a13bc58768c3742553ac5f83,True
front-matter:00_05_List_of_Plates:l70-81,haskell-1980-rev-ed,front-matter,00_05_List_of_Plates,00_05_List_of_Plates.md,70,81,c8539b3476dce0eb2b84c6e8f27f363cfa15ea8fbe57a5bd9e7a330f16e6c0dd,96aa11521c311c17676147c3ec99fb47d7cf9042a13bc58768c3742553ac5f83,True
front-matter:00_05_List_of_Plates:l83-118,haskell-1980-rev-ed,front-matter,00_05_List_of_Plates,00_05_List_of_Plates.md,83,118,debb1d2752997be33db63891b529b946f6b4ca38c50cd059c3df7a52c847873f,96aa11521c311c17676147c3ec99fb47d7cf9042a13bc58768c3742553ac5f83,True
front-matter:00_05_List_of_Plates:l120-121,haskell-1980-rev-ed,front-matter,00_05_List_of_Plates,00_05_List_of_Plates.md,120,121,323e4d0eb66b082d636fd815f0aaf71fdcb837d7a314a7a9893f82d1d47f7a70,96aa11521c311c17676147c3ec99fb47d7cf9042a13bc58768c3742553ac5f83,True
front-matter:00_05_List_of_Plates:l123-138,haskell-1980-rev-ed,front-matter,00_05_List_of_Plates,00_05_List_of_Plates.md,123,138,99895d582375332bdf53442ec47932b60c932b147270c1583d8c187ef9f3be0e,96aa11521c311c17676147c3ec99fb47d7cf9042a13bc58768c3742553ac5f83,True
front-matter:00_05_List_of_Plates:l140-172,haskell-1980-rev-ed,front-matter,00_05_List_of_Plates,00_05_List_of_Plates.md,140,172,16b5be546aa8ed1bb7a59a16db3c2a20ec327a95d95da393a83d55584734b3e6,96aa11521c311c17676147c3ec99fb47d7cf9042a13bc58768c3742553ac5f83,True
front-matter:00_05_List_of_Plates:l174-185,haskell-1980-rev-ed,front-matter,00_05_List_of_Plates,00_05_List_of_Plates.md,174,185,196034c189e7cee9583b761a80a78bb584f556ad3d4e930cfde6ddc98206e601,96aa11521c311c17676147c3ec99fb47d7cf9042a13bc58768c3742553ac5f83,True
front-matter:00_05_List_of_Plates:l187-188,haskell-1980-rev-ed,front-matter,00_05_List_of_Plates,00_05_List_of_Plates.md,187,188,5c61d6b7bdda8e9a223511fcc2072c83aaeb64eab693684cb4f0a6deeb0d07c9,96aa11521c311c17676147c3ec99fb47d7cf9042a13bc58768c3742553ac5f83,True
front-matter:00_05_List_of_Plates:l190-196,haskell-1980-rev-ed,front-matter,00_05_List_of_Plates,00_05_List_of_Plates.md,190,196,11172830fd260967d117a2b217f42361ea8f18510806deed98fe78478354c5b3,96aa11521c311c17676147c3ec99fb47d7cf9042a13bc58768c3742553ac5f83,True
front-matter:00_05_List_of_Plates:l198-198,haskell-1980-rev-ed,front-matter,00_05_List_of_Plates,00_05_List_of_Plates.md,198,198,4044a20f85470e048618266f6b6394ce6116b882f5dede893b51d301b7f99209,96aa11521c311c17676147c3ec99fb47d7cf9042a13bc58768c3742553ac5f83,True
chp-1:01_CHP-1_intro:l1-1,haskell-1980-rev-ed,chp-1,01_CHP-1_intro,01_CHP-1_intro.md,1,1,ae2eaa1fa975a4919840dbae507b2232c82f7a475580ee51a94a2c2edd712d78,93c891b83017cd46962aafe0ee80e2d49c6858446647e42daad0ac034d95cfd6,True
chp-1:01_CHP-1_intro:l3-5,haskell-1980-rev-ed,chp-1,01_CHP-1_intro,01_CHP-1_intro.md,3,5,0b4a253191220d15fc93cd65858b29d71e4e4d67b058b85c3e859e817bfbf7fc,93c891b83017cd46962aafe0ee80e2d49c6858446647e42daad0ac034d95cfd6,True
chp-1:01_CHP-1_intro:l7-9,haskell-1980-rev-ed,chp-1,01_CHP-1_intro,01_CHP-1_intro.md,7,9,b639c7948981e006ad3c08bf035b41427c67ca25346c47e2b626d17fe4e97dd2,93c891b83017cd46962aafe0ee80e2d49c6858446647e42daad0ac034d95cfd6,True
chp-1:01_CHP-1_intro:l11-13,haskell-1980-rev-ed,chp-1,01_CHP-1_intro,01_CHP-1_intro.md,11,13,0a4ff02ae4106139aad6d2b4b20a9a2d6c1c2d4e4b78851a3e0da2dcea2b2e5d,93c891b83017cd46962aafe0ee80e2d49c6858446647e42daad0ac034d95cfd6,True
chp-1:01_CHP-1_sec_i:l1-1,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_i,01_CHP-1_sec_i.md,1,1,adb1332a4859004c8a4022783e9743967f9981d643332fb5c67e446ac7046081,fb6198d0392e70a23a2d9ed05c0d432d4466de4ba75cc96762e3b4e45a204c40,True
chp-1:01_CHP-1_sec_i:l3-13,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_i,01_CHP-1_sec_i.md,3,13,41b7957cf5b7396cb2bf948142f957259f0ee928eac86de3ffb801d118b032fa,fb6198d0392e70a23a2d9ed05c0d432d4466de4ba75cc96762e3b4e45a204c40,True
chp-1:01_CHP-1_sec_i:l15-24,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_i,01_CHP-1_sec_i.md,15,24,c9f47239d438c2b61316aa257d542644d243911ef124c889e244531a35006b31,fb6198d0392e70a23a2d9ed05c0d432d4466de4ba75cc96762e3b4e45a204c40,True
chp-1:01_CHP-1_sec_i:l26-33,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_i,01_CHP-1_sec_i.md,26,33,159cdfe11b59f8c8197cea76168d11f6cc7ab7f5e5155e5795af86a2176b1ce0,fb6198d0392e70a23a2d9ed05c0d432d4466de4ba75cc96762e3b4e45a204c40,True
chp-1:01_CHP-1_sec_i:l35-36,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_i,01_CHP-1_sec_i.md,35,36,144576b6f1a130d0ff72352390a013b92e6af49aba5da5a5b7f99fab0cdf2f32,fb6198d0392e70a23a2d9ed05c0d432d4466de4ba75cc96762e3b4e45a204c40,True
chp-1:01_CHP-1_sec_i:l38-47,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_i,01_CHP-1_sec_i.md,38,47,d26c9d4d53452f8084fbc408f9e146c810dd466dcdfa0c131b930463b61791f3,fb6198d0392e70a23a2d9ed05c0d432d4466de4ba75cc96762e3b4e45a204c40,True
chp-1:01_CHP-1_sec_ii:l1-1,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,1,1,3bbc3362c3a06d8dc71ff392145ee3b375d94572adf8d836886a9400a40c6ee1,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
chp-1:01_CHP-1_sec_ii:l3-8,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,3,8,99c88a4e0141dc67871c10cca9157ea1a33e78f1d02e14808123ea745ba58440,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
chp-1:01_CHP-1_sec_ii:l10-17,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,10,17,a678453151b763f6a157472bf6393ec985feccc26d008c9a8e81c8a9dc6c124b,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
chp-1:01_CHP-1_sec_ii:l19-26,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,19,26,a02b3059573fde2ae25c1889bd20f1536844d9418ac903cda93bafdf29e22126,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
chp-1:01_CHP-1_sec_ii:l28-38,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,28,38,80d90e0f8b0aa22f45dbfe8fc9492c5ae9baee2c9a2c6749df4929754fd2e375,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
chp-1:01_CHP-1_sec_ii:l40-46,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,40,46,8a047fc987870ab67066ad0c938de849d66aa2757d38b1dc4c4ca354194193bd,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
chp-1:01_CHP-1_sec_ii:l48-60,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,48,60,9e78342f6ca4b5d210c405aaa1e7cd1f063df4e9a68b78c823597d2bda34c2c3,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
chp-1:01_CHP-1_sec_ii:l62-71,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,62,71,93e137305efc7e0753350ed38084128dc82aa61a596a6adf3d3979609109f965,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
chp-1:01_CHP-1_sec_ii:l73-77,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,73,77,08d0b4db8a37d6097dd9c5fcaf28e90034a721c7077a470ab332c4e0a0e80542,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
chp-1:01_CHP-1_sec_ii:l79-84,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,79,84,83e5da63c3e5deb00803dec8bc08b9a4d32f99ade9e2827960ee2117ce3c8334,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
chp-1:01_CHP-1_sec_ii:l86-94,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,86,94,5d626905d132320e68740a13163e775091bf604ce40c5d41c40858884a17ab52,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
chp-1:01_CHP-1_sec_ii:l96-104,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,96,104,48354a5337e70fa0da4c03e96c672613b4cadb0f990d965f7b4475d929bf04af,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
chp-1:01_CHP-1_sec_ii:l106-116,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,106,116,be9588797757c50478366dcd9e264676b77b7497b60e2717d3c51b46c7216dfc,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
chp-1:01_CHP-1_sec_ii:l118-127,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,118,127,a1609de43ef335cae0c1289ae92fdbe062335d7ae525c85a22acbdbfafa997e4,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
chp-1:01_CHP-1_sec_ii:l129-135,haskell-1980-rev-ed,chp-1,01_CHP-1_sec_ii,01_CHP-1_sec_ii.md,129,135,ed882d0be64ff4bba3d9e9d2586c6fc027149a17080a347b3b026d936e12c7a8,1b5890ce028c421718abcb28e4c6dc4070be1bc71597a96247b32ebee42e2268,True
