enrichment_id,ku_id,field,value,wikidata_qid,candidate_source_ids,candidate_revisions,candidate_accessed_dates,candidate_urls,pointer_status,evidence_marker
enr-01985,units/persons/benvenuto-cellini,性别,男,Q190116,src-435a8757db6f12f6;src-75643638f170dce5,2539677897;2539677897,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q190116;https://www.wikidata.org/wiki/Q190116,candidate_sources_ambiguous,Wikidata P21；有参考
enr-01986,units/persons/benvenuto-cellini,出生日期,1500-11-01；1500-11-03,Q190116,src-435a8757db6f12f6;src-75643638f170dce5,2539677897;2539677897,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q190116;https://www.wikidata.org/wiki/Q190116,candidate_sources_ambiguous,Wikidata P569；有参考；未列参考
enr-01987,units/persons/benvenuto-cellini,去世日期,1571-02-13,Q190116,src-435a8757db6f12f6;src-75643638f170dce5,2539677897;2539677897,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q190116;https://www.wikidata.org/wiki/Q190116,candidate_sources_ambiguous,Wikidata P570；有参考
enr-01988,units/persons/benvenuto-cellini,出生地,佛罗伦萨,Q190116,src-435a8757db6f12f6;src-75643638f170dce5,2539677897;2539677897,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q190116;https://www.wikidata.org/wiki/Q190116,candidate_sources_ambiguous,Wikidata P19；有参考
enr-01989,units/persons/benvenuto-cellini,去世地,佛罗伦萨,Q190116,src-435a8757db6f12f6;src-75643638f170dce5,2539677897;2539677897,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q190116;https://www.wikidata.org/wiki/Q190116,candidate_sources_ambiguous,Wikidata P20；有参考
enr-01990,units/persons/benvenuto-cellini,国籍／公民身份,佛罗伦萨共和国；佛羅倫斯公國,Q190116,src-435a8757db6f12f6;src-75643638f170dce5,2539677897;2539677897,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q190116;https://www.wikidata.org/wiki/Q190116,candidate_sources_ambiguous,Wikidata P27；未列参考
enr-01991,units/persons/benvenuto-cellini,身份／职业标签,雕塑家；作家；币章雕刻家；自传作者；建筑绘图员；金匠；美術史學家；銀匠,Q190116,src-435a8757db6f12f6;src-75643638f170dce5,2539677897;2539677897,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q190116;https://www.wikidata.org/wiki/Q190116,candidate_sources_ambiguous,Wikidata P106；有参考
enr-01992,units/persons/benvenuto-cellini,配偶,Piera Parigi,Q190116,src-435a8757db6f12f6;src-75643638f170dce5,2539677897;2539677897,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q190116;https://www.wikidata.org/wiki/Q190116,candidate_sources_ambiguous,Wikidata P26；未列参考
enr-01993,units/persons/benvenuto-cellini,成员身份,佛罗伦萨美术学院,Q190116,src-435a8757db6f12f6;src-75643638f170dce5,2539677897;2539677897,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q190116;https://www.wikidata.org/wiki/Q190116,candidate_sources_ambiguous,Wikidata P463；未列参考
enr-01994,units/persons/benvenuto-cellini,代表作,Fontainebleau Nymph；珀耳修斯和美杜莎的首级；鹽罐；Ganymede；Ganymede with Eagle and Eaglet；Head of Medusa；Jupiter；Minerva with Shield,Q190116,src-435a8757db6f12f6;src-75643638f170dce5,2539677897;2539677897,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q190116;https://www.wikidata.org/wiki/Q190116,candidate_sources_ambiguous,Wikidata P800；有参考；未列参考
